Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.111711,0.113869,0.100378,0.106044,0.099298,0.099568,0.107393,0.100378,1.2042932222222218
15,0.122774,0.126012,0.109012,0.116028,0.111711,0.108743,0.119806,0.11279,1.769652888888889
20,0.131409,0.134916,0.115488,0.123853,0.120885,0.119266,0.126012,0.120615,2.332493777777778
25,0.136266,0.141123,0.123044,0.12871,0.122774,0.125202,0.131678,0.123044,2.892426777777778
30,0.142202,0.147598,0.12871,0.131678,0.126282,0.130059,0.135996,0.12844,3.4523294444444446
35,0.146519,0.149487,0.130599,0.137075,0.130599,0.131948,0.141662,0.130329,4.010913111111111
40,0.150297,0.148948,0.134107,0.141662,0.132758,0.134107,0.140853,0.131139,4.568207888888889
45,0.153265,0.154884,0.137885,0.14436,0.134107,0.136535,0.145979,0.133567,5.126731333333333
50,0.156503,0.157852,0.142472,0.147329,0.139773,0.137615,0.152455,0.137075,5.685674888888888
55,0.162709,0.160281,0.14544,0.149217,0.14436,0.140043,0.156503,0.138964,6.2441685555555555
60,0.162169,0.163519,0.147329,0.151106,0.147598,0.143551,0.158122,0.141123,6.801613
65,0.168106,0.170534,0.146789,0.152186,0.149757,0.148948,0.163249,0.14463,7.360466555555555
70,0.169455,0.170804,0.149757,0.155154,0.150567,0.150836,0.164598,0.147329,7.91761111111111
75,0.172963,0.174852,0.153265,0.16163,0.154074,0.150567,0.168106,0.150297,8.476194888888887
80,0.175931,0.17674,0.156773,0.16109,0.154344,0.151106,0.165677,0.150297,9.032439777777777
