Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.060811,0.048951,0.017544,0.015748,0.058333,0.065041,0.065217,0.056075,1.1541911111111112
15,0.054054,0.083916,0.017544,0.031496,0.05,0.073171,0.043478,0.046729,1.7111542222222225
20,0.067568,0.06993,0.04386,0.03937,0.033333,0.097561,0.057971,0.065421,2.2750015555555554
25,0.060811,0.076923,0.04386,0.031496,0.025,0.105691,0.043478,0.056075,2.8270371111111112
30,0.067568,0.090909,0.052632,0.047244,0.033333,0.089431,0.057971,0.056075,3.388351444444444
35,0.060811,0.076923,0.052632,0.03937,0.025,0.081301,0.050725,0.056075,3.9380930000000003
40,0.060811,0.076923,0.061404,0.03937,0.05,0.113821,0.065217,0.056075,4.502624555555555
45,0.067568,0.06993,0.070175,0.03937,0.05,0.121951,0.057971,0.046729,5.058188222222222
50,0.067568,0.06993,0.061404,0.03937,0.05,0.138211,0.057971,0.065421,5.6166527777777775
55,0.067568,0.076923,0.052632,0.055118,0.041667,0.130081,0.072464,0.056075,6.17250311111111
60,0.081081,0.076923,0.035088,0.062992,0.041667,0.105691,0.065217,0.037383,6.7228935555555545
65,0.074324,0.083916,0.052632,0.055118,0.041667,0.113821,0.065217,0.046729,7.281491555555557
70,0.081081,0.090909,0.04386,0.047244,0.041667,0.130081,0.07971,0.037383,7.83910388888889
75,0.081081,0.097902,0.035088,0.03937,0.058333,0.113821,0.07971,0.028037,8.392593555555557
80,0.067568,0.076923,0.052632,0.03937,0.05,0.105691,0.072464,0.037383,8.94467011111111
