Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.026145,0.021229,0.011696,0.003093,0.029398,0.026987,0.009159,0.015602,1.1270343333333335
15,0.027767,0.025094,0.008772,0.005521,0.02287,0.03593,0.008825,0.016589,1.6834853333333333
20,0.035312,0.028652,0.015434,0.007358,0.01994,0.034779,0.015332,0.01459,2.2412663333333334
25,0.031652,0.033361,0.017057,0.004756,0.017857,0.03613,0.015427,0.015057,2.7968107777777775
30,0.036449,0.02788,0.013485,0.014323,0.019583,0.032756,0.009803,0.013811,3.3520100000000004
35,0.031438,0.026807,0.012876,0.009252,0.017857,0.035037,0.010093,0.011159,3.906057666666666
40,0.04161,0.033411,0.013569,0.015048,0.021944,0.032246,0.01583,0.013188,4.465205111111111
45,0.030076,0.026515,0.016545,0.009383,0.023552,0.040612,0.023096,0.011475,5.020139333333335
50,0.030526,0.022977,0.013777,0.015682,0.023889,0.044273,0.015548,0.010681,5.575261444444443
55,0.024681,0.029679,0.01155,0.01577,0.027024,0.036098,0.02337,0.008782,6.130772666666667
60,0.033634,0.025241,0.008333,0.025109,0.026759,0.040831,0.0255,0.007269,6.688075111111111
65,0.029907,0.024581,0.006638,0.01892,0.02295,0.038027,0.030757,0.008204,7.242220444444442
70,0.031944,0.026881,0.00731,0.018513,0.022454,0.03342,0.025029,0.00771,7.797029000000001
75,0.030899,0.027553,0.00731,0.015967,0.025427,0.027984,0.019232,0.007009,8.351264555555556
80,0.026866,0.033983,0.015069,0.014895,0.02619,0.022377,0.013394,0.014174,8.907438666666668
