Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.111441,0.113869,0.101457,0.105505,0.099838,0.100378,0.107933,0.100648,1.204563222222222
15,0.123044,0.127901,0.108473,0.115488,0.11306,0.108473,0.120345,0.1136,1.7700426666666667
20,0.130329,0.134647,0.118457,0.124933,0.121155,0.119266,0.12871,0.122774,2.3333634444444447
25,0.136535,0.141392,0.124123,0.130059,0.122774,0.126282,0.132218,0.124393,2.8930862222222222
30,0.143821,0.14436,0.127901,0.131678,0.127091,0.130869,0.134916,0.127631,3.4520296666666668
35,0.14571,0.149757,0.132218,0.137885,0.131678,0.131948,0.140583,0.130329,4.011123111111112
40,0.151376,0.150297,0.135456,0.142472,0.134107,0.135186,0.142742,0.133028,4.5694071111111105
45,0.153265,0.155154,0.136535,0.14571,0.136266,0.137345,0.147868,0.133297,5.127271111111112
50,0.158662,0.157312,0.143011,0.146789,0.139234,0.139773,0.152455,0.138694,5.6862144444444445
55,0.162169,0.159201,0.14463,0.148948,0.144091,0.139773,0.154614,0.140313,6.243748777777778
60,0.166217,0.162979,0.14544,0.153535,0.147598,0.143281,0.16109,0.143821,6.802662333333334
65,0.166757,0.169185,0.147059,0.156233,0.150567,0.147868,0.166487,0.147598,7.361306000000001
70,0.170264,0.174582,0.151646,0.158931,0.154884,0.148948,0.167836,0.148948,7.919559888888888
75,0.174312,0.172693,0.151916,0.162709,0.153535,0.148408,0.167566,0.149487,8.47562511111111
80,0.175661,0.175661,0.157043,0.1619,0.158122,0.152995,0.170534,0.152455,9.033819000000003
