Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.060811,0.055944,0.017544,0.015748,0.066667,0.065041,0.057971,0.056075,1.155089
15,0.054054,0.076923,0.017544,0.031496,0.041667,0.065041,0.050725,0.046729,1.7093532222222223
20,0.067568,0.076923,0.04386,0.03937,0.033333,0.089431,0.057971,0.046729,2.2727983333333333
25,0.060811,0.076923,0.04386,0.031496,0.033333,0.097561,0.043478,0.056075,2.8270596666666665
30,0.067568,0.090909,0.052632,0.047244,0.033333,0.097561,0.043478,0.056075,3.3876444444444442
35,0.060811,0.076923,0.052632,0.031496,0.025,0.081301,0.050725,0.065421,3.938256555555556
40,0.060811,0.076923,0.061404,0.03937,0.05,0.113821,0.065217,0.056075,4.502624555555555
45,0.060811,0.076923,0.070175,0.03937,0.05,0.121951,0.057971,0.056075,5.059252888888889
50,0.067568,0.06993,0.061404,0.03937,0.05,0.130081,0.057971,0.065421,5.615749444444444
55,0.074324,0.076923,0.04386,0.047244,0.05,0.121951,0.072464,0.056075,6.171426777777778
60,0.081081,0.06993,0.052632,0.062992,0.066667,0.089431,0.072464,0.037383,6.725842222222222
65,0.074324,0.076923,0.04386,0.062992,0.05,0.105691,0.065217,0.046729,7.280637333333331
70,0.074324,0.083916,0.04386,0.055118,0.041667,0.121951,0.101449,0.037383,7.839963111111111
75,0.067568,0.090909,0.04386,0.055118,0.05,0.105691,0.094203,0.028037,8.392820666666662
80,0.067568,0.076923,0.061404,0.03937,0.058333,0.097561,0.072464,0.037383,8.945667333333333
