Rank,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_Avg
10,0.02622,0.021706,0.011696,0.003093,0.030033,0.026987,0.008535,0.015602,1.1270968888888888
15,0.027767,0.024853,0.008772,0.005709,0.021944,0.039182,0.009449,0.015992,1.683740888888889
20,0.03857,0.02863,0.013241,0.009843,0.019524,0.039111,0.01585,0.010748,2.241724111111111
25,0.035031,0.033528,0.019981,0.004449,0.018899,0.035205,0.015327,0.019263,2.797964777777778
30,0.036712,0.035165,0.012671,0.015507,0.019676,0.032746,0.008414,0.014901,3.3528657777777777
35,0.031438,0.025241,0.013168,0.008465,0.017857,0.035069,0.01101,0.011552,3.905977777777778
40,0.038232,0.032828,0.013569,0.01122,0.022222,0.031975,0.015286,0.011319,4.464072333333334
45,0.029963,0.024534,0.018738,0.009274,0.023056,0.039789,0.019232,0.009683,5.019363222222222
50,0.030365,0.022095,0.012389,0.009983,0.024792,0.048077,0.01589,0.010317,5.574878666666667
55,0.026247,0.026815,0.009743,0.014092,0.028505,0.040592,0.028019,0.008678,6.131410111111111
60,0.034374,0.024958,0.010088,0.022003,0.029881,0.03776,0.027858,0.006943,6.688207222222222
65,0.034347,0.023338,0.00675,0.019816,0.024048,0.036627,0.031481,0.007866,7.242696999999999
70,0.031033,0.02321,0.006516,0.020472,0.021875,0.036934,0.03153,0.007321,7.797654555555557
75,0.028228,0.027398,0.006457,0.01787,0.024107,0.027252,0.027289,0.006231,8.351648
80,0.027872,0.032351,0.020395,0.015636,0.032778,0.023032,0.01457,0.008048,8.908298
